,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,MeanWorkingTime
1289,4.0,1.0,4.0,45,0,Travel_Rarely,Human Resources,14,3,Human Resources,Female,1,Sales Executive,Married,54730,4.0,13,0,17.0,3,0,0,0,1,3,31095.994977
1290,1.0,3.0,4.0,37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,3,Sales Executive,Single,52070,4.0,17,3,16.0,3,5,0,2,3,3,22734.98353
1291,2.0,2.0,3.0,46,0,Travel_Rarely,Research & Development,9,3,Medical,Male,3,Manager,Divorced,164370,8.0,15,1,16.0,0,4,0,2,3,3,36583.895789
1292,4.0,4.0,2.0,30,0,Travel_Rarely,Sales,18,3,Life Sciences,Male,4,Human Resources,Married,22960,1.0,18,1,10.0,2,10,3,0,3,3,30464.691655
1293,2.0,3.0,3.0,35,0,Travel_Rarely,Research & Development,20,4,Life Sciences,Female,3,Human Resources,Single,40690,1.0,13,0,6.0,5,6,0,4,3,3,28125.760455
1294,1.0,4.0,3.0,55,0,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,2,Laboratory Technician,Married,74410,3.0,12,1,24.0,4,1,1,0,3,3,23879.362113
1295,2.0,4.0,3.0,38,0,Non-Travel,Sales,11,1,Marketing,Male,2,Laboratory Technician,Divorced,24300,7.0,13,2,17.0,2,13,1,9,4,3,30028.276295
1296,1.0,2.0,3.0,34,0,Travel_Rarely,Research & Development,8,2,Medical,Male,1,Research Scientist,Married,58780,1.0,14,0,5.0,1,5,1,3,3,3,27332.894079
1297,4.0,4.0,2.0,56,0,Travel_Rarely,Human Resources,2,1,Medical,Male,2,Sales Executive,Single,26440,4.0,11,1,37.0,2,6,0,2,3,3,21910.01247
1298,3.0,1.0,3.0,23,0,Travel_Rarely,Research & Development,10,3,Medical,Male,2,Laboratory Technician,Divorced,64390,3.0,22,3,3.0,2,0,0,0,3,4,16479.833441
1299,4.0,4.0,3.0,51,0,Travel_Rarely,Research & Development,29,4,Life Sciences,Female,5,Manufacturing Director,Married,24510,3.0,17,0,10.0,2,4,0,3,2,3,20810.637216
1300,3.0,4.0,3.0,30,0,Travel_Rarely,Sales,8,2,Technical Degree,Male,1,Sales Representative,Married,63920,1.0,21,1,11.0,2,11,10,8,4,4,26871.517906
1301,3.0,4.0,3.0,46,1,Travel_Rarely,Sales,1,2,Medical,Female,2,Research Scientist,Single,97140,1.0,22,0,9.0,0,9,4,7,3,4,21286.443744
1302,3.0,2.0,2.0,40,0,Travel_Frequently,Research & Development,6,3,Medical,Male,1,Healthcare Representative,Married,60770,1.0,16,2,22.0,2,22,11,11,2,3,5646.197925
1303,3.0,4.0,1.0,51,0,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,5,Sales Representative,Single,24500,0.0,12,1,11.0,2,10,1,0,3,3,35822.237486
1304,3.0,2.0,2.0,30,0,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,1,Manufacturing Director,Divorced,92500,1.0,12,3,11.0,0,11,2,7,3,3,28162.402209
1305,3.0,1.0,2.0,46,0,Travel_Frequently,Research & Development,12,1,Medical,Male,1,Laboratory Technician,Married,20740,2.0,15,1,21.0,3,10,9,5,3,3,30828.570946
1306,2.0,3.0,3.0,32,0,Travel_Rarely,Sales,15,3,Marketing,Male,1,Research Scientist,Single,101690,1.0,14,0,12.0,6,11,5,7,2,3,26562.722293
1307,1.0,3.0,1.0,54,0,Travel_Rarely,Research & Development,25,1,Medical,Female,1,Laboratory Technician,Married,48550,9.0,25,1,16.0,2,4,0,3,2,4,26022.167017
1308,1.0,3.0,2.0,24,0,Travel_Rarely,Sales,6,2,Marketing,Male,2,Research Scientist,Married,40870,0.0,20,3,4.0,1,3,0,2,3,4,27077.063128
1309,2.0,3.0,4.0,28,0,Non-Travel,Sales,9,4,Medical,Male,2,Laboratory Technician,Married,23670,1.0,13,0,5.0,2,5,0,4,2,3,19748.158519
1310,4.0,3.0,2.0,58,0,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,2,Sales Executive,Single,29720,0.0,14,0,38.0,2,37,1,8,4,3,24135.844004
1311,2.0,2.0,4.0,44,0,Non-Travel,Research & Development,23,2,Medical,Female,1,Research Scientist,Married,195860,4.0,16,0,17.0,3,3,1,2,2,3,22843.284975
1313,4.0,1.0,3.0,32,0,Travel_Rarely,Human Resources,12,2,Human Resources,Female,1,Sales Representative,Single,20610,1.0,15,1,1.0,2,1,0,0,2,3,25235.325862
1314,4.0,4.0,3.0,20,1,Travel_Frequently,Sales,4,4,Life Sciences,Female,2,Healthcare Representative,Single,99240,1.0,22,0,1.0,3,1,1,0,3,4,37294.914034
1315,1.0,3.0,3.0,34,0,Travel_Rarely,Research & Development,1,4,Other,Male,4,Laboratory Technician,Single,41980,1.0,22,1,16.0,2,16,2,10,2,4,25031.437077
1316,3.0,4.0,4.0,37,0,Non-Travel,Sales,24,2,Life Sciences,Male,1,Research Scientist,Divorced,68150,5.0,20,1,17.0,3,1,0,0,3,4,28364.991361
1317,3.0,4.0,3.0,59,0,Non-Travel,Research & Development,12,2,Life Sciences,Male,2,Sales Executive,Married,47230,9.0,14,0,30.0,0,3,2,2,3,3,25918.233082
1318,1.0,2.0,2.0,50,0,Travel_Frequently,Research & Development,3,4,Medical,Male,4,Research Scientist,Married,61420,3.0,13,2,28.0,3,8,0,7,2,3,32781.649011
1319,3.0,3.0,3.0,25,1,Travel_Rarely,Sales,10,1,Marketing,Male,2,Research Director,Single,82370,1.0,13,0,6.0,6,6,0,3,2,3,30079.1161
1320,4.0,4.0,3.0,25,0,Travel_Rarely,Research & Development,26,3,Technical Degree,Male,1,Laboratory Technician,Married,88530,1.0,22,1,2.0,3,2,2,1,3,4,26902.044706
1321,2.0,4.0,3.0,22,0,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,1,Sales Representative,Single,193310,1.0,12,1,1.0,2,0,0,0,3,3,21740.696645
1322,1.0,1.0,2.0,51,0,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,1,Sales Executive,Single,20730,3.0,14,1,23.0,4,13,12,8,3,3,25117.480041
1324,4.0,4.0,3.0,54,0,Non-Travel,Research & Development,9,3,Life Sciences,Male,1,Laboratory Technician,Single,196130,2.0,17,0,23.0,5,5,4,4,3,3,28987.196251
1325,2.0,3.0,3.0,24,0,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,2,Laboratory Technician,Married,34070,0.0,13,1,6.0,4,5,1,2,3,3,22133.071112
1326,3.0,2.0,3.0,34,0,Travel_Rarely,Sales,4,3,Marketing,Female,2,Sales Representative,Divorced,50630,6.0,12,1,12.0,2,1,0,0,3,3,21302.772926
1327,3.0,4.0,3.0,37,0,Travel_Rarely,Sales,6,1,Technical Degree,Male,1,Laboratory Technician,Single,46390,2.0,12,2,12.0,3,5,1,3,3,3,21526.463244
1328,3.0,1.0,3.0,34,0,Travel_Rarely,Sales,9,2,Medical,Male,2,Healthcare Representative,Single,48760,2.0,21,1,14.0,3,11,5,8,3,4,27307.196774
1329,2.0,4.0,3.0,36,0,Travel_Frequently,Human Resources,7,3,Medical,Male,1,Research Scientist,Married,26900,0.0,11,0,10.0,1,9,2,8,3,3,27881.727012
1330,1.0,4.0,3.0,36,0,Travel_Rarely,Research & Development,1,3,Medical,Female,2,Manufacturing Director,Divorced,175670,5.0,13,0,7.0,6,1,0,0,3,3,26264.582742
1331,3.0,4.0,4.0,43,0,Travel_Frequently,Research & Development,3,4,Life Sciences,Male,1,Sales Executive,Married,24080,1.0,12,1,25.0,3,25,4,12,3,3,30166.65172
1332,1.0,3.0,2.0,30,0,Travel_Frequently,Research & Development,10,3,Life Sciences,Female,3,Healthcare Representative,Divorced,28140,1.0,24,0,10.0,2,10,0,9,3,4,13177.373712
1333,3.0,2.0,4.0,33,0,Non-Travel,Sales,7,3,Life Sciences,Male,2,Sales Executive,Married,112450,0.0,21,0,8.0,3,7,0,7,3,4,23710.12719
1334,2.0,2.0,3.0,56,1,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Laboratory Technician,Married,33120,9.0,19,0,7.0,1,5,4,3,1,3,31595.627059
1335,1.0,3.0,3.0,51,0,Travel_Rarely,Research & Development,3,2,Other,Female,2,Sales Representative,Single,190490,7.0,14,1,23.0,2,20,15,15,3,3,24221.547211
1336,2.0,3.0,2.0,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4.0,20,0,12.0,2,7,7,7,3,4,29355.936932
1337,3.0,2.0,2.0,26,0,Travel_Rarely,Sales,17,3,Medical,Female,2,Manager,Married,57690,1.0,19,0,5.0,4,5,4,3,2,3,27948.875613
1338,4.0,4.0,2.0,58,1,Travel_Rarely,Sales,2,2,Medical,Female,1,Research Scientist,Married,43850,1.0,13,1,40.0,2,40,15,6,2,3,12570.416721
1339,4.0,3.0,2.0,19,1,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,1,Manager,Single,53320,1.0,23,1,0.0,2,0,0,0,3,4,32451.900715
1340,3.0,4.0,3.0,22,0,Travel_Rarely,Sales,29,4,Technical Degree,Male,1,Sales Executive,Married,46630,0.0,13,1,3.0,1,2,2,1,3,3,21814.596026
1341,3.0,1.0,2.0,49,0,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,1,Sales Executive,Married,47240,1.0,11,1,16.0,3,15,5,11,2,3,19008.602776
1342,2.0,3.0,3.0,43,0,Travel_Frequently,Sales,2,2,Life Sciences,Male,1,Sales Executive,Single,32110,4.0,13,0,18.0,2,3,1,2,4,3,27216.73806
1343,3.0,4.0,3.0,50,0,Travel_Frequently,Research & Development,19,4,Life Sciences,Male,2,Sales Executive,Single,53770,4.0,14,1,16.0,3,2,2,1,4,3,25820.32893
1344,2.0,3.0,3.0,31,1,Travel_Rarely,Research & Development,15,1,Medical,Female,2,Sales Executive,Married,40660,3.0,22,0,4.0,2,2,2,2,2,4,29725.182439
1345,3.0,3.0,3.0,41,0,Travel_Rarely,Research & Development,17,2,Other,Male,1,Manufacturing Director,Divorced,52080,3.0,11,3,12.0,2,9,0,7,1,3,27969.989903
1346,3.0,3.0,3.0,26,0,Travel_Rarely,Research & Development,17,4,Life Sciences,Male,2,Sales Executive,Married,48770,1.0,13,1,8.0,5,8,5,7,4,3,27996.843729
1347,2.0,2.0,3.0,36,0,Travel_Rarely,Human Resources,25,1,Human Resources,Male,2,Research Scientist,Divorced,31170,6.0,21,1,7.0,2,3,0,1,4,4,22928.284502
1348,1.0,4.0,3.0,51,1,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,1,Manager,Single,15690,2.0,11,0,18.0,2,4,0,3,4,3,24813.444435
1349,4.0,3.0,4.0,39,0,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,1,Research Scientist,Married,196580,4.0,13,1,17.0,3,15,5,9,4,3,26356.185294
1350,1.0,3.0,3.0,25,0,Travel_Rarely,Sales,29,1,Medical,Female,3,Research Scientist,Married,30690,2.0,14,1,6.0,3,2,2,2,2,3,27089.858647
1351,3.0,4.0,1.0,30,0,Travel_Rarely,Research & Development,21,1,Medical,Male,2,Laboratory Technician,Married,104350,0.0,11,0,12.0,5,11,4,7,3,3,34548.737852
1352,1.0,1.0,4.0,32,1,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Single,41480,7.0,15,0,10.0,0,5,0,4,2,3,25366.428074
1353,3.0,4.0,2.0,45,0,Travel_Rarely,Research & Development,2,1,Technical Degree,Female,2,Healthcare Representative,Single,57680,5.0,23,1,9.0,4,6,0,3,3,4,24665.260897
1354,4.0,3.0,3.0,38,0,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,2,Research Director,Single,50420,3.0,16,1,19.0,4,3,2,2,3,3,35557.224566
1355,1.0,3.0,2.0,30,0,Travel_Rarely,Sales,13,3,Marketing,Female,2,Laboratory Technician,Single,57700,1.0,16,1,5.0,2,5,0,4,4,3,23263.703558
1356,4.0,4.0,4.0,32,0,Travel_Frequently,Sales,2,3,Marketing,Male,3,Laboratory Technician,Divorced,77560,0.0,21,0,9.0,3,8,0,7,3,4,22625.25272
1357,4.0,1.0,3.0,30,0,Travel_Rarely,Research & Development,1,3,Medical,Female,3,Sales Executive,Divorced,103060,5.0,13,0,8.0,5,3,2,2,3,3,22127.584657
1358,2.0,4.0,3.0,30,0,Travel_Rarely,Sales,9,3,Medical,Male,2,Research Scientist,Single,39360,0.0,11,1,6.0,3,5,1,2,3,3,16888.551261
1359,4.0,1.0,2.0,41,0,Travel_Frequently,Sales,10,2,Medical,Female,3,Manufacturing Director,Divorced,79450,4.0,12,1,21.0,6,7,7,7,2,3,25781.979538
1360,3.0,1.0,3.0,41,0,Travel_Rarely,Research & Development,10,4,Medical,Male,4,Research Scientist,Married,57430,2.0,12,3,7.0,2,5,1,4,4,3,27503.04982
1361,2.0,2.0,3.0,19,0,Travel_Rarely,Research & Development,1,3,Other,Female,5,Manufacturing Director,Single,152020,1.0,18,3,1.0,2,1,0,0,2,3,21168.600924
1362,2.0,2.0,3.0,40,0,Travel_Frequently,Research & Development,26,4,Medical,Male,2,Manufacturing Director,Divorced,54400,1.0,12,1,20.0,2,20,2,13,3,3,24534.403347
1363,3.0,2.0,3.0,35,0,Travel_Rarely,Sales,8,1,Marketing,Female,3,Laboratory Technician,Married,37600,1.0,14,3,10.0,2,10,0,6,3,3,17946.316345
1364,2.0,3.0,1.0,53,0,Travel_Rarely,Sales,14,2,Life Sciences,Female,5,Manufacturing Director,Married,35170,2.0,12,1,13.0,1,7,4,5,2,3,37976.684732
1365,2.0,2.0,1.0,45,0,Travel_Rarely,Sales,1,4,Technical Degree,Male,1,Research Scientist,Divorced,25800,8.0,17,3,20.0,3,17,0,15,3,3,23892.651865
1366,2.0,4.0,3.0,32,0,Travel_Frequently,Sales,2,2,Life Sciences,Female,1,Manufacturing Director,Single,21660,1.0,19,1,9.0,4,9,3,7,1,3,27524.119041
1367,4.0,3.0,3.0,29,0,Non-Travel,Research & Development,10,4,Technical Degree,Male,3,Healthcare Representative,Married,58690,1.0,11,1,10.0,6,10,0,9,4,3,21428.410783
1368,2.0,3.0,3.0,51,0,Travel_Rarely,Research & Development,1,3,Other,Female,3,Research Director,Married,80080,2.0,15,1,10.0,4,1,0,0,3,3,26485.667565
1369,2.0,2.0,2.0,58,0,Travel_Rarely,Sales,3,3,Marketing,Female,1,Research Scientist,Married,52060,4.0,11,3,9.0,4,1,0,0,1,3,34726.025249
1370,3.0,4.0,2.0,40,0,Travel_Rarely,Research & Development,11,2,Technical Degree,Male,4,Laboratory Technician,Married,52950,7.0,18,0,15.0,4,12,2,11,3,3,20844.780318
1371,3.0,3.0,3.0,34,0,Travel_Frequently,Sales,24,4,Marketing,Male,2,Manufacturing Director,Married,164130,6.0,16,0,6.0,1,4,1,2,3,3,24281.755224
1372,3.0,4.0,3.0,22,0,Travel_Rarely,Research & Development,3,3,Medical,Male,1,Laboratory Technician,Married,132690,1.0,25,1,2.0,2,2,2,2,3,4,26849.693536
1373,4.0,2.0,1.0,27,0,Non-Travel,Research & Development,3,3,Medical,Male,1,Healthcare Representative,Divorced,27830,6.0,16,1,6.0,2,2,2,2,4,3,21924.941232
1374,3.0,4.0,1.0,28,0,Travel_Rarely,Sales,4,4,Life Sciences,Male,2,Healthcare Representative,Married,54330,1.0,13,1,5.0,4,5,0,2,2,3,9869.015789
1375,3.0,4.0,1.0,57,0,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,2,Manufacturing Director,Divorced,20130,3.0,14,1,12.0,5,5,1,4,3,3,37263.873109
1376,3.0,3.0,2.0,27,0,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Manufacturing Director,Divorced,139660,1.0,19,0,1.0,1,1,0,1,3,3,36716.485835
1377,3.0,2.0,3.0,50,0,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Manufacturing Director,Single,43740,3.0,15,1,21.0,5,5,4,4,4,3,16982.044358
1378,1.0,3.0,3.0,41,0,Travel_Rarely,Sales,7,4,Marketing,Male,4,Laboratory Technician,Divorced,68420,4.0,12,1,13.0,3,9,1,8,3,3,21053.953585
1379,2.0,4.0,3.0,30,0,Travel_Rarely,Human Resources,1,4,Human Resources,Female,1,Manager,Married,174260,2.0,12,1,12.0,0,10,7,4,2,3,23774.591184
1380,1.0,4.0,4.0,38,0,Travel_Rarely,Sales,1,1,Medical,Male,2,Laboratory Technician,Single,176030,4.0,16,0,12.0,0,8,0,7,2,3,21117.601578
1381,3.0,3.0,3.0,32,0,Travel_Rarely,Research & Development,20,3,Medical,Female,1,Manufacturing Director,Single,45810,3.0,14,1,8.0,3,5,1,4,3,3,23743.319617
1382,3.0,2.0,2.0,27,0,Travel_Rarely,Research & Development,5,4,Medical,Male,2,Healthcare Representative,Married,47350,0.0,13,0,6.0,2,5,1,1,3,3,28707.390351
1383,3.0,1.0,4.0,19,1,Travel_Frequently,Research & Development,10,2,Life Sciences,Male,2,Healthcare Representative,Single,41870,0.0,22,1,1.0,4,0,0,0,3,4,12668.267254
1384,4.0,2.0,2.0,36,0,Travel_Frequently,Sales,25,3,Marketing,Female,2,Research Director,Single,55050,4.0,21,2,13.0,3,8,7,2,3,4,25245.262755
1385,3.0,1.0,3.0,30,0,Non-Travel,Sales,1,3,Medical,Female,1,Sales Executive,Divorced,54700,1.0,18,1,12.0,2,12,6,10,3,3,23745.909564
1386,3.0,1.0,4.0,45,0,Travel_Rarely,Research & Development,24,2,Medical,Male,2,Sales Executive,Divorced,54760,4.0,13,1,9.0,3,5,0,3,3,3,29615.511529
1387,3.0,1.0,3.0,56,0,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,4,Manager,Divorced,25870,4.0,12,0,19.0,2,2,2,2,2,3,29975.315897
1388,3.0,4.0,4.0,33,0,Travel_Rarely,Research & Development,2,2,Medical,Male,1,Sales Executive,Single,24400,0.0,18,3,4.0,4,3,0,2,3,3,24827.690151
1389,2.0,4.0,2.0,19,1,Travel_Rarely,Research & Development,8,2,Life Sciences,Male,2,Sales Executive,Single,159720,1.0,21,0,1.0,2,1,1,0,3,4,24810.310823
1390,2.0,1.0,3.0,46,0,Travel_Rarely,Research & Development,10,3,Technical Degree,Female,2,Laboratory Technician,Divorced,153790,1.0,12,0,24.0,1,24,15,7,1,3,24273.281706
1391,3.0,4.0,3.0,38,0,Travel_Rarely,Sales,4,4,Life Sciences,Male,1,Manufacturing Director,Single,70820,1.0,14,0,2.0,3,2,2,1,4,3,27630.26411
1392,3.0,4.0,3.0,31,0,Travel_Rarely,Sales,2,5,Life Sciences,Male,2,Sales Representative,Married,27280,8.0,11,0,7.0,3,4,0,2,4,3,36640.350912
1393,4.0,2.0,3.0,34,0,Travel_Rarely,Sales,9,3,Marketing,Female,2,Manager,Single,53680,2.0,14,1,9.0,2,3,1,2,3,3,20785.127529
1394,2.0,2.0,2.0,41,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,5,Laboratory Technician,Single,53470,1.0,24,1,4.0,1,4,0,2,3,4,35162.3713
1395,3.0,3.0,2.0,50,0,Travel_Rarely,Sales,19,4,Marketing,Male,3,Sales Executive,Married,31950,2.0,11,0,5.0,4,3,0,2,2,3,11837.022522
1396,4.0,1.0,3.0,53,0,Travel_Rarely,Sales,1,2,Life Sciences,Male,1,Manager,Divorced,39890,1.0,13,0,5.0,2,4,1,3,3,3,21807.116267
1397,4.0,2.0,3.0,33,0,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,1,Human Resources,Married,33060,1.0,11,3,8.0,6,8,1,6,1,3,26533.427616
1398,4.0,3.0,3.0,40,0,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,2,Sales Executive,Married,70050,1.0,20,2,21.0,2,20,9,9,3,4,22678.057485
1399,3.0,2.0,3.0,55,0,Travel_Rarely,Research & Development,6,1,Life Sciences,Female,2,Laboratory Technician,Single,26550,8.0,17,0,36.0,0,24,2,15,2,3,20331.206981
1400,4.0,3.0,2.0,34,0,Travel_Frequently,Human Resources,7,4,Other,Female,1,Research Scientist,Married,13930,1.0,11,2,10.0,4,10,1,9,4,3,24186.701701
1401,4.0,2.0,3.0,51,0,Travel_Rarely,Human Resources,4,2,Human Resources,Male,2,Sales Representative,Single,25700,3.0,18,0,21.0,2,7,1,0,3,3,25972.405166
1402,3.0,3.0,3.0,52,0,Travel_Rarely,Research & Development,2,4,Medical,Female,2,Sales Representative,Married,35370,0.0,11,1,34.0,3,33,11,9,3,3,22119.280127
1403,4.0,2.0,2.0,27,0,Travel_Rarely,Sales,15,3,Marketing,Male,1,Research Scientist,Single,39860,1.0,12,2,7.0,3,7,0,3,3,3,25311.538197
1404,2.0,3.0,3.0,35,1,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Married,108830,3.0,12,0,8.0,3,1,0,1,4,3,31743.467116
1405,4.0,4.0,4.0,43,0,Non-Travel,Research & Development,6,2,Medical,Male,1,Healthcare Representative,Divorced,20280,4.0,20,1,7.0,2,5,2,2,2,4,26203.502218
1406,1.0,4.0,3.0,45,0,Non-Travel,Research & Development,9,2,Medical,Female,1,Sales Executive,Married,95250,9.0,19,0,22.0,3,20,11,8,3,3,20282.53432
1408,2.0,2.0,3.0,35,0,Travel_Frequently,Research & Development,1,3,Other,Male,2,Research Director,Single,22750,5.0,13,0,10.0,2,6,1,2,4,3,21242.070857
1409,3.0,3.0,3.0,42,0,Non-Travel,Research & Development,1,1,Technical Degree,Male,2,Sales Executive,Divorced,78790,2.0,11,1,11.0,2,5,0,2,3,3,21547.542833
1410,4.0,3.0,3.0,38,0,Travel_Rarely,Sales,8,2,Marketing,Male,5,Research Scientist,Married,49300,9.0,14,0,14.0,0,1,0,0,3,3,2174.665771
1411,4.0,4.0,1.0,38,0,Travel_Rarely,Human Resources,25,1,Human Resources,Female,1,Manufacturing Director,Married,78470,3.0,14,1,9.0,3,7,1,7,4,3,24659.506123
1412,3.0,1.0,3.0,27,0,Travel_Frequently,Research & Development,13,4,Medical,Male,1,Manager,Married,44010,5.0,13,0,6.0,4,2,2,0,2,3,22145.803367
1413,4.0,4.0,3.0,49,0,Non-Travel,Research & Development,23,1,Other,Female,2,Sales Executive,Divorced,92410,1.0,19,1,7.0,5,7,1,7,3,3,32827.13318
1414,4.0,3.0,4.0,34,0,Travel_Frequently,Research & Development,7,2,Medical,Male,4,Sales Representative,Divorced,29740,1.0,23,0,5.0,2,5,2,0,3,4,36526.791672
1415,3.0,4.0,4.0,40,0,Travel_Rarely,Research & Development,23,3,Medical,Female,1,Laboratory Technician,Married,45020,8.0,12,2,15.0,0,7,3,7,2,3,34674.744483
1416,2.0,1.0,3.0,38,1,Travel_Rarely,Sales,6,4,Life Sciences,Female,3,Research Scientist,Married,107480,7.0,15,0,17.0,3,1,0,0,3,3,27850.331391
1417,2.0,4.0,2.0,29,1,Travel_Rarely,Sales,10,2,Life Sciences,Female,2,Research Scientist,Married,15550,1.0,19,2,10.0,2,10,1,9,3,3,22953.997981
1418,4.0,2.0,2.0,22,0,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,4,Healthcare Representative,Divorced,129360,1.0,11,2,4.0,3,4,2,2,3,3,28989.641179
1419,2.0,4.0,3.0,36,0,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,2,Laboratory Technician,Single,23050,1.0,17,0,8.0,3,8,1,7,3,3,23077.263775
1420,4.0,4.0,1.0,40,0,Non-Travel,Research & Development,28,2,Life Sciences,Male,1,Manufacturing Director,Married,167040,9.0,22,0,5.0,2,3,0,2,4,4,20637.768075
1421,4.0,1.0,3.0,46,0,Travel_Rarely,Research & Development,25,1,Medical,Male,5,Research Scientist,Divorced,34330,7.0,18,0,17.0,3,4,0,3,3,3,21524.59581
1422,4.0,4.0,2.0,32,1,Travel_Rarely,Research & Development,5,3,Medical,Male,1,Healthcare Representative,Married,34770,1.0,11,0,14.0,2,14,9,8,4,3,26662.576515
1423,3.0,3.0,3.0,30,0,Non-Travel,Research & Development,17,4,Life Sciences,Male,2,Healthcare Representative,Single,64300,1.0,12,1,12.0,2,11,5,8,2,3,28470.986509
1424,4.0,3.0,3.0,27,0,Travel_Frequently,Research & Development,18,2,Medical,Female,1,Laboratory Technician,Single,65160,1.0,19,1,7.0,4,7,0,7,3,3,22436.745454
1425,2.0,2.0,1.0,51,0,Travel_Rarely,Research & Development,2,1,Medical,Female,1,Manufacturing Director,Married,39070,5.0,13,0,16.0,2,10,4,7,3,3,22067.53487
1426,4.0,1.0,3.0,30,1,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,2,Research Scientist,Single,55620,5.0,13,0,8.0,3,5,0,4,2,3,13674.906682
1427,4.0,4.0,3.0,41,0,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Human Resources,Single,68830,3.0,19,2,16.0,3,1,0,0,2,3,31073.29072
1428,3.0,1.0,2.0,30,1,Travel_Frequently,Sales,3,2,Medical,Male,2,Healthcare Representative,Single,28620,5.0,14,0,9.0,2,6,0,1,2,3,23862.329397
1429,3.0,3.0,2.0,29,1,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Sales Executive,Single,49780,0.0,13,0,7.0,3,6,1,5,2,3,26264.466903
1430,4.0,4.0,3.0,45,0,Non-Travel,Research & Development,2,3,Medical,Female,2,Research Scientist,Single,103680,6.0,12,2,23.0,2,19,12,8,3,3,18561.416921
1431,4.0,1.0,3.0,54,0,Travel_Rarely,Sales,8,2,Marketing,Female,2,Laboratory Technician,Married,61340,2.0,19,0,16.0,2,6,0,5,2,3,20174.562287
1432,4.0,2.0,4.0,36,0,Travel_Rarely,Research & Development,16,4,Life Sciences,Male,1,Healthcare Representative,Single,67350,8.0,25,2,16.0,3,13,3,7,2,4,25936.678469
1433,3.0,2.0,3.0,33,0,Travel_Rarely,Sales,9,1,Other,Female,3,Sales Executive,Married,32950,6.0,22,2,7.0,2,3,1,1,3,4,25812.712276
1434,2.0,4.0,3.0,37,0,Travel_Frequently,Sales,2,4,Life Sciences,Male,2,Laboratory Technician,Divorced,52380,1.0,15,1,10.0,5,10,0,7,3,3,34791.542348
1435,1.0,3.0,2.0,38,0,Travel_Rarely,Research & Development,1,2,Medical,Male,4,Laboratory Technician,Divorced,64720,0.0,12,0,17.0,4,16,5,13,3,3,23526.054487
1436,3.0,3.0,3.0,31,0,Non-Travel,Sales,4,1,Medical,Female,3,Research Scientist,Married,96100,0.0,11,1,6.0,2,5,1,4,2,3,20302.842978
1437,3.0,4.0,3.0,59,0,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,3,Manager,Married,198330,3.0,13,0,7.0,2,1,0,0,3,3,21497.645199
1438,1.0,4.0,3.0,37,0,Travel_Frequently,Sales,2,3,Marketing,Female,2,Laboratory Technician,Divorced,97560,4.0,19,0,13.0,2,9,5,8,3,3,22197.87458
1439,2.0,4.0,3.0,29,0,Travel_Frequently,Sales,15,4,Medical,Female,1,Sales Executive,Married,49680,1.0,19,3,11.0,4,11,4,1,3,3,21955.508707
1440,3.0,3.0,4.0,35,0,Travel_Frequently,Research & Development,19,3,Life Sciences,Female,1,Sales Executive,Single,21450,1.0,13,0,10.0,6,10,0,8,2,3,21512.797703
1441,3.0,4.0,2.0,29,1,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,1,Research Scientist,Single,21800,1.0,21,0,4.0,2,4,0,1,3,4,29532.224028
